Date,MONTH,STATION,LAT,LONG,PERIOD,COURSE,TP,DO,DIN,SRP,Turb,pH,T,WD
09/05/2012,5,1,-22.49058333,-43.21741667,Dry,Upper,0.17,8.2,1.33,0.16,3.4,7,14,0.1
13/06/2012,6,1,-22.49058333,-43.21741667,Dry,Upper,0.3,8,1.8,0.2,7.9,7.1,16,0.2
04/07/2012,7,1,-22.49058333,-43.21741667,Dry,Upper,0.32,8.4,3.34,0.2,6.3,7.2,15,0.1
16/08/2012,8,1,-22.49058333,-43.21741667,Dry,Upper,0.46,7.8,4.13,0.3,0.85,6.6,14,0.1
18/09/2012,9,1,-22.49058333,-43.21741667,Dry,Upper,0.63,5.8,5.02,0.13,4.3,6.4,18,0.1
24/10/2012,10,1,-22.49058333,-43.21741667,Dry,Upper,0.35,6.8,2.47,0.2,12,7.2,17,0.1
13/11/2012,11,1,-22.49058333,-43.21741667,Wet,Upper,0.25,7.8,2.428,0.07,32,6.9,19,0.1
12/12/2012,12,1,-22.49058333,-43.21741667,Wet,Upper,0.29,6.8,2.17,0.19,0.96,6.4,21,0.2
22/01/2013,1,1,-22.49058333,-43.21741667,Wet,Upper,0.17,7.79,1.28,0.04,20,7.7,18,0.2
26/02/2013,2,1,-22.49058333,-43.21741667,Wet,Upper,0.22,7.4,1.77,0.14,2.4,8.4,22,0.2
02/04/2013,3,1,-22.49058333,-43.21741667,Wet,Upper,0.12,8.14,1.23,0.11,2.4,7.3,20,0.4
30/04/2013,4,1,-22.49058333,-43.21741667,Wet,Upper,0.18,7.54,2.71,0.11,2.6,7.3,18,0.4
09/05/2012,5,2,-22.50388889,-43.18166667,Dry,Upper,0.36,5.6,2.17,0.19,11,6.8,17,0.5
13/06/2012,6,2,-22.50388889,-43.18166667,Dry,Upper,0.35,5,2.36,0.2,23.3,7,17,0.8
04/07/2012,7,2,-22.50388889,-43.18166667,Dry,Upper,0.58,4,7.74,0.35,5.1,7,18.5,0.5
16/08/2012,8,2,-22.50388889,-43.18166667,Dry,Upper,0.88,3,8.83,0.51,5.2,6.4,17,0.8
18/09/2012,9,2,-22.50388889,-43.18166667,Dry,Upper,1,2,11.039,0.14,6.4,6.7,18,0.1
24/10/2012,10,2,-22.50388889,-43.18166667,Dry,Upper,0.47,3.2,2.82,0.28,5,7,19,0.9
13/11/2012,11,2,-22.50388889,-43.18166667,Wet,Upper,0.43,5.6,6.009,0.07,38,6.9,20,0.8
12/12/2012,12,2,-22.50388889,-43.18166667,Wet,Upper,0.56,2.4,4.04,0.48,1.9,6.8,22,0.5
22/01/2013,1,2,-22.50388889,-43.18166667,Wet,Upper,0.23,5.54,2.68,0.13,4.3,7.4,19,0.8
26/02/2013,2,2,-22.50388889,-43.18166667,Wet,Upper,0.44,4.2,6,0.28,3.5,7.6,23,0.9
02/04/2013,3,2,-22.50388889,-43.18166667,Wet,Upper,0.18,6.54,2.87,0.12,8.4,7,19,1
30/04/2013,4,2,-22.50388889,-43.18166667,Wet,Upper,0.5,4.28,5.71,0.06,168,7.1,18,1
09/05/2012,5,3,-22.40319444,-43.13527778,Dry,Medium,0.28,5.8,2.26,0.22,5.3,6.5,17,1.8
13/06/2012,6,3,-22.40319444,-43.13527778,Dry,Medium,0.3,5.4,2.71,0.2,11.9,7.1,18,2.8
04/07/2012,7,3,-22.40319444,-43.13527778,Dry,Medium,0.45,6.2,6,0.34,4.9,7.2,18,3.8
16/08/2012,8,3,-22.40319444,-43.13527778,Dry,Medium,0.72,5.2,6.37,0.45,9.5,6.7,17,2.7
18/09/2012,9,3,-22.40319444,-43.13527778,Dry,Medium,0.93,3.6,8.82,0.27,9.8,7.7,20,2.2
24/10/2012,10,3,-22.40319444,-43.13527778,Dry,Medium,1.1,2.6,2.34,0.41,5.7,7.1,19.4,2.2
13/11/2012,11,3,-22.40319444,-43.13527778,Wet,Medium,0.67,5.2,3.538,0.03,73,7,20,2.6
12/12/2012,12,3,-22.40319444,-43.13527778,Wet,Medium,0.44,3.4,3.51,0.34,3.4,6.8,23,3.2
22/01/2013,1,3,-22.40319444,-43.13527778,Wet,Medium,0.14,5.69,1.22,0.13,8.5,7.4,19,17
26/02/2013,2,3,-22.40319444,-43.13527778,Wet,Medium,0.32,5.6,4.49,0.22,4.3,7.6,24,4.6
02/04/2013,3,3,-22.40319444,-43.13527778,Wet,Medium,0.13,6.73,2.17,0.07,3.1,7,19.9,12.9
30/04/2013,4,3,-22.40319444,-43.13527778,Wet,Medium,0.14,5.04,4.74,0.13,3.2,7.1,18,12.9
09/05/2012,5,4,-22.3791,-43.13106667,Dry,Medium,0.31,5.6,1.86,0.13,47,6.6,17.5,2.3
13/06/2012,6,4,-22.3791,-43.13106667,Dry,Medium,0.3,5.2,1.25,0.2,45.8,7.1,18,3.6
04/07/2012,7,4,-22.3791,-43.13106667,Dry,Medium,0.6,5.8,4.91,0.19,81,7.3,17,5.5
16/08/2012,8,4,-22.3791,-43.13106667,Dry,Medium,0.69,5.4,4.79,0.29,64,6.8,17,4.6
18/09/2012,9,4,-22.3791,-43.13106667,Dry,Medium,0.9,4.8,6.32,0.2,9.8,7.7,21,3.5
24/10/2012,10,4,-22.3791,-43.13106667,Dry,Medium,0.56,3,3.02,0.3,32,7,19.6,2.9
13/11/2012,11,4,-22.3791,-43.13106667,Wet,Medium,0.98,5,2.658,0.02,220,7.1,20,4.4
12/12/2012,12,4,-22.3791,-43.13106667,Wet,Medium,0.28,4,2.72,0.21,7.6,6.9,23,4.5
22/01/2013,1,4,-22.3791,-43.13106667,Wet,Medium,0.14,5.76,1.1,0.06,15,7.3,19,23.3
26/02/2013,2,4,-22.3791,-43.13106667,Wet,Medium,0.2,5.6,2.91,0.14,7.2,7.5,24,5.8
02/04/2013,3,4,-22.3791,-43.13106667,Wet,Medium,0.18,6.6,1.81,0.08,12,6.9,21.5,15.9
30/04/2013,4,4,-22.3791,-43.13106667,Wet,Medium,0.16,5.16,3.73,0.08,7.9,7,18,15.9
09/05/2012,5,5,-22.34920278,-43.12088889,Dry,Medium,0.2,7,2.75,0.15,17,6.7,17,2.4
13/06/2012,6,5,-22.34920278,-43.12088889,Dry,Medium,0.23,7.6,1.51,0.1,32,7.1,18,3.7
04/07/2012,7,5,-22.34920278,-43.12088889,Dry,Medium,0.39,7.2,4.48,0.14,67,7.3,17,5.5
16/08/2012,8,5,-22.34920278,-43.12088889,Dry,Medium,0.38,6,0.58,0.23,12,6.9,17,4.3
18/09/2012,9,5,-22.34920278,-43.12088889,Dry,Medium,0.9,5.8,6.62,0.2,9.8,7.7,21,3.8
24/10/2012,10,5,-22.34920278,-43.12088889,Dry,Medium,0.45,5,4.4,0.24,13,7,19.6,3.8
13/11/2012,11,5,-22.34920278,-43.12088889,Wet,Medium,1,4.8,3.108,0.02,181,7.2,21,3.9
12/12/2012,12,5,-22.34920278,-43.12088889,Wet,Medium,0.21,5,2.86,0.16,12,6.8,23,5.6
22/01/2013,1,5,-22.34920278,-43.12088889,Wet,Medium,0.15,5.44,1.27,0.08,15,7.3,19,24.4
26/02/2013,2,5,-22.34920278,-43.12088889,Wet,Medium,0.21,6.6,3.22,0.14,6.9,7.5,24,7.6
02/04/2013,3,5,-22.34920278,-43.12088889,Wet,Medium,0.16,7.36,1.8,0.06,12.3,6.9,20.3,16.3
30/04/2013,4,5,-22.34920278,-43.12088889,Wet,Medium,0.11,6.16,3.61,0.1,6.2,6.9,18,16.3
09/05/2012,5,6,-22.29666667,-43.128625,Dry,Medium,0.22,8.2,2.19,0.12,11,6.6,18,2.5
13/06/2012,6,6,-22.29666667,-43.128625,Dry,Medium,0.34,8,3.52,0.2,35.3,7.1,18,3.9
04/07/2012,7,6,-22.29666667,-43.128625,Dry,Medium,0.38,6,4.09,0.25,13,7.5,18,7.5
16/08/2012,8,6,-22.29666667,-43.128625,Dry,Medium,0.61,8,1.11,0.34,23,6.9,17,5.1
18/09/2012,9,6,-22.29666667,-43.128625,Dry,Medium,0.82,7.2,7.8,0.19,7.8,7.7,22,4.6
24/10/2012,10,6,-22.29666667,-43.128625,Dry,Medium,0.63,6.6,8.7,0.48,11,7.1,20.1,4.1
13/11/2012,11,6,-22.29666667,-43.128625,Wet,Medium,1.9,7.2,4.239,0.02,269,7.2,21,6.8
12/12/2012,12,6,-22.29666667,-43.128625,Wet,Medium,0.46,6.4,6.78,0.25,13,6.8,25,5.7
22/01/2013,1,6,-22.29666667,-43.128625,Wet,Medium,0.18,5.31,1.03,0.08,13,7.4,19,26
26/02/2013,2,6,-22.29666667,-43.128625,Wet,Medium,0.32,6.8,2.86,0.17,9.5,7.7,24,13.3
02/04/2013,3,6,-22.29666667,-43.128625,Wet,Medium,0.14,8.29,2.05,0.11,13.1,6.8,20.8,20.2
30/04/2013,4,6,-22.29666667,-43.128625,Wet,Medium,0.22,7.09,4.05,0.16,4.6,6.9,18,20.2
09/05/2012,5,7,-22.2434,-43.08676111,Dry,Lower,0.23,9,2.2,0.15,10,6.6,18,2.7
13/06/2012,6,7,-22.2434,-43.08676111,Dry,Lower,0.28,9,2.78,0.2,34.1,7.2,18,4.1
04/07/2012,7,7,-22.2434,-43.08676111,Dry,Lower,0.4,9,3.53,0.25,18,7.5,18.5,15.5
16/08/2012,8,7,-22.2434,-43.08676111,Dry,Lower,0.47,8.6,2.43,0.21,29,6.9,17,10.1
18/09/2012,9,7,-22.2434,-43.08676111,Dry,Lower,0.88,8.2,4.24,0.14,6.6,7.8,22,4.5
24/10/2012,10,7,-22.2434,-43.08676111,Dry,Lower,0.49,7.4,4.73,0.32,10,7.3,20.9,5.1
13/11/2012,11,7,-22.2434,-43.08676111,Wet,Lower,1.7,7.6,5.069,0.05,240,7.4,23,8.8
12/12/2012,12,7,-22.2434,-43.08676111,Wet,Lower,0.4,7.2,2.98,0.19,14,6.7,26,10
22/01/2013,1,7,-22.2434,-43.08676111,Wet,Lower,0.22,7.22,0.98,0.08,17,7.4,20,32.2
26/02/2013,2,7,-22.2434,-43.08676111,Wet,Lower,0.32,7.6,2.89,0.22,6.8,7.8,27,16
02/04/2013,3,7,-22.2434,-43.08676111,Wet,Lower,0.12,8.66,2.03,0.05,18,6.9,21.7,24.1
30/04/2013,4,7,-22.2434,-43.08676111,Wet,Lower,0.13,8.13,3.06,0.08,5.3,7,19,24.1
09/05/2012,5,8,-22.22861667,-43.11861667,Dry,Lower,0.25,9,1.7,0.06,32,6.9,19,6
13/06/2012,6,8,-22.22861667,-43.11861667,Dry,Lower,0.18,9.2,1.74,0.1,21.2,7.2,19,9.3
04/07/2012,7,8,-22.22861667,-43.11861667,Dry,Lower,0.16,9,1.94,0.06,29,7.6,19,22.7
16/08/2012,8,8,-22.22861667,-43.11861667,Dry,Lower,0.07,8.8,1.87,0.05,12,7,17,17.5
18/09/2012,9,8,-22.22861667,-43.11861667,Dry,Lower,0.85,7.8,2.5,0.06,10.9,7.8,23,8.9
12/12/2012,12,8,-22.22861667,-43.11861667,Wet,Lower,0.28,6.8,2.43,0.13,14,7,27,20
22/01/2013,1,8,-22.22861667,-43.11861667,Wet,Lower,0.23,5.9,0.98,0.09,32,7.4,21,50.2
26/02/2013,2,8,-22.22861667,-43.11861667,Wet,Lower,0.19,7.6,2.21,0.1,13,7.7,27,19.3
02/04/2013,3,8,-22.22861667,-43.11861667,Wet,Lower,0.12,8.45,1.65,0.07,32.2,6.9,21.9,39
30/04/2013,4,8,-22.22861667,-43.11861667,Wet,Lower,0.14,8.12,2.2,0.04,12,7,18,39
09/05/2012,5,9,-22.12638889,-43.14388889,Dry,Lower,0.1,9,1.33,0.07,23,7,20,7.1
13/06/2012,6,9,-22.12638889,-43.14388889,Dry,Lower,0.14,9.2,1.74,0.1,22.9,7.3,19.5,11.1
16/08/2012,8,9,-22.12638889,-43.14388889,Dry,Lower,0.06,9.2,2.23,0.05,9.5,7.2,17,25.1
18/09/2012,9,9,-22.12638889,-43.14388889,Dry,Lower,0.33,8.2,1.47,0.03,12.7,7.8,23,12
24/10/2012,10,9,-22.12638889,-43.14388889,Dry,Lower,0.17,7.6,2.23,0.12,15,7.5,22,14.7
13/11/2012,11,9,-22.12638889,-43.14388889,Wet,Lower,0.24,8,2.008,0.06,44,7.4,23,31
12/12/2012,12,9,-22.12638889,-43.14388889,Wet,Lower,0.16,7.4,1.64,0.12,28,7.2,27,29.3
22/01/2013,1,9,-22.12638889,-43.14388889,Wet,Lower,0.2,5.46,1.28,0.09,25,7.5,23,57.1
26/02/2013,2,9,-22.12638889,-43.14388889,Wet,Lower,0.16,8.6,1.86,0.1,13,7.7,27,20.7
02/04/2013,3,9,-22.12638889,-43.14388889,Wet,Lower,0.07,7.99,1.34,0.04,37,6.9,24.2,40.3
30/04/2013,4,9,-22.12638889,-43.14388889,Wet,Lower,0.1,8.15,2.17,0.03,12,6.9,18,40.3
