sites,Geitlerinema_sp.,Geitlerinema_sp2,Geitlerinema_sp3,Komvophoron_sp.,Jaaginema_sp.,Limnothrix_sp1,Limnothrix_sp2,Limnothrix_sp3,Oscillatoria_sp1,Oscillatoria_sp2,Pseudanabaena_limnetica,Pseudanabaena_catenata,cf.Raphidiopsis,Romeria_sp.,cf.Spirulina,Synechocystis_aquatilis,Synechococcus_sp.,Chroococcus_sp.,cf.Cyanobium_sp.,Chroococcales_unicelular_1,Chroococcales_colonial_1,Chroococcales_colonial_3,Chroococcales_colonial_4,Merismopedia_sp,Pseudanabaena_sp1,Pseudanabaena_sp2,Pseudanabaena_sp3,Pseudanabaena_sp4,Pseudanabaena_sp5,Pseudanabaenaceae_1,Pseudanabaenaceae_2,Pseudanabaenaceae_7,Oscillatoriales_1,Oscillatoriales_2,Oscillatoriales_4,Oscillatoriales_6,Aulacoseira_granulata,Aulacoseira_sp1,Aulacoseira_sp2,Cyclotella_cf.meneghiniana,Cyclotella_sp2,Cyclotella_sp3,Melosira_sp1,Centrales_1,Achnanthes_inflata,Achnanthes_cf.rupestoides,Achnanthes_sp1,Achnanthes_sp2,cf.Achnanthidium_sp,Amphora_sp.,Cymbela_sp.,cf.Encyonema,Fragillaria_capucina,Fragillaria_capucina_var.gracilis,Fragillaria_capucina_cf.var.fragilarioides,Fragillaria_sp.,cf.Frustulia,Gomphonema_augur,Gomphonema_cf.olivaceum,Gomphonema_cf.truncatum,Gomphonema_sp1,Gomphonema_sp2,Gyrosigma/Pleurosigma,Hantszchia_sp.,Navicula_sp1,Navicula_sp2,Navicula_sp3,Navicula_sp4,Naviculales,Nitzschia_sp1,Nitzschia_sp2,Pinnularia_sp_1,Pinnularia_sp2,Pinullaria_sp4,Pinullaria_sp6,Pinnularia_sp_7,Stauroneis_borrichii,Surirella_cf.minuta,Surirella_sp1,Synedra_sp.,cf.Urosolenia,Pennales_1,Pennales_2,Pennales_3,Pennales_4,Pennales_5,Penales_6_,Pennales_7,Pennales_9,Pennales_10,Pennales_11,Pennales_12,Pennales_13,Actinastrum_sp.,Actinastrum_cf.hantzchii,Ankistrodesmus_sp.,Chlorella_sp1,Chlorella_sp_2,Chlorella_sp3,Coelastrum_sp.,Crucigenia_fenestrata,Crucigenia_sp2,Crucigeniella_sp.,Desmodesmus_quadricauda,Desmodesmus_sp1,Desmodesmus_sp2,Desmodesmus_sp3,Desmodesmus_sp4,Desmodesmus_sp5,Dictyosphaerium_sp.,cf.Koliella_sp.,Monoraphidium_arcuatum,Monoraphidium_contortum,Monoraphidium_convolutum,Monoraphidium_komarkovae,Monoraphidium_minutum,Oocystis_sp1,Oocystis_sp2,Oocystis_sp3,Pandorina_sp.,Pediastrum_sp1,Pediastrum_sp2,Scenedesmus_sp1,Scenedesmus_sp2,Scenedesmus_sp3,Scenedesmus_sp_4,Chlorococcales_1,Chlorococcales_2,Chlorococcales_3,Chlorococcales_4,Chlorococcales_5,Chlorococcales_6,Chlorococcales_7,cf.Cryptomonas_sp1,cf.Cryptomonas_sp2,Cryptophyceae_1,Cryptophyceae_2,Cryptophyceae_3,Cosmarium_sp.,Staurastrum_sp.,Staurodesmus_sp.,Dinobryon_sp.,Euglena_sp1,Euglena_sp2,Euglena_sp3,Phacus_sp.,Strombomonas_sp.,Trachelomonas_sp.,Flagellates_1,Flagellates_2
MAI P1,316.68,424.12,0,31.81,0,0,0,0,0,7241.28,791.7,0,0,0,0,64.54,0,0,0,0,14.14,17.16,0,0,0,2945.25,8529.45,0,0,0,0,0,0,0,0,0,0,2262.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.57,0,0,0,0,0,0,0,0,0,0,0,0,0,38091.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUN P1,0,0,0,0,0,0,0,0,0,0,8143.2,0,0,0,0,0,0,107.76,0,0,0,0,0,0,0,0,0,135905.28,0,8482.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7991.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.408,1018.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL P1,0,0,0,0,0,0,0,0,0,0,678.6,0,31.815,188.49,0,145.215,18.855,0,0,81.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758.13,0,0,430.05,0,0,0,0,8591.88,1665.54,156.21,0,0,0,0,0,3158.775,0,0,0,0,216.15,0,0,0,0,0,0,7783.245,1033.71,0,0,5657.1,382.8,0,40768.83,0,0,0,0,643.245,0,0,38091.46,0,2641.32,2497.245,0,0,0,0,0,0,0,0,0,0,0,0,176.715,98.175,0,0,0,0,0,0,941.35,476.595,0,0,0,0,0,0,0,23.235,83.97,0,56.55,0,0,0,0,612.615,0,0,0,0,0,0,2864.43,0,0,337.74,0,1159.785,0,0,0,0,0,0,0,8274.195,0,12089.925,0,0,0,0,0,0,0
AGO P1,0,0,0,0,0,15331.008,0,0,13291.9488,0,4415.424,22996.512,0,0,0,1102.3432,81.7888,109.556,0,0,0,0,0,0,41410.9968,0,0,69085.184,0,0,1554.6216,0,0,0,0,0,0,0,0,1399.096,801.3936,0,0,0,0,1806.1856,0,0,0,0,0,0,0,0,0,0,0,0,8269.6968,0,0,0,0,0,0,6726.0064,0,0,0,0,0,0,58687.0752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.584,228.2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033.7888,2070.8768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25554.2176,2555.168,14022.7776,0,0
SET P1,0,0,0,0,0,0,0,0,0,4344.768,14114.88,11309.76,0,0,0,2788.128,0,0,0,0,0,0,0,0,27154.752,0,60047.328,87367.68,0,67860.48,2548.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8804.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026.56,673.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.45,0,226.176,0,1743.216,623.424,0,0,0,0,0,0,0,0,2667.264,5092.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77375.52,0,0,0,0,0,0,1496.64
OUT P1,2295.93,0,0,2306.225,0,22776.6,0,0,0,0,0,79718.1,0,0,0,0,0,0,729.06,0,0,0,0,0,0,0,32980.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9992.53,24686.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24140.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV P1,0,0,0,0,0,0,0,0,6537.024,0,0,0,0,0,0,1084.272,60.336,0,0,0,203.616,0,0,0,13577.376,0,8188.272,77660.16,0,1696.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691.68,0,0,0,0,0,0,8302.128,1653.936,0,3252.96,0,0,1249.92,0,0,0,0,0,0,0,0,95228.65,0,0,0,0,7099.2,0,0,0,0,0,0,3058.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEZ P1,6111.924,0,0,0,0,30316.44,0,0,0,0,0,106107.54,0,0,0,0,0,0,0,0,0,0,0,0,54592.366,0,0,0,0,0,0,0,0,0,0,3279.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98117.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48506.304,7657.854,0,0,0,0,0,0,0,0,0,0,0,0,0
JAN P1,1527.981,0,0,0,0,0,0,0,0,0,2182.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256.43,0,0,0,0,0,0,0,0,0,0,0,64262.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7009.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEV P1,1527.981,4092.758,0,0,0,0,0,0,0,0,2182.83,45474.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267224.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.8,0,0,0,0,0,0,0,0,1930.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR P1,10695.867,0,0,0,0,0,0,0,0,0,0,45474.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24683.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR P1,0,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14241.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI P2,0,0,0,0,0,0,0,0,0,0,0,3769.92,0,0,0,0,0,0,0,0,0,0,0,0,190083.264,4712.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77375.52,0,0,0,0,0,0,0
JUN P2,0,0,0,0,0,0,0,0,0,0,8731.32,45474.66,0,0,0,0,0,0,0,0,0,0,0,0,0,18947.775,0,0,0,0,0,0,0,0,0,0,0,43673.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL P2,0,0,0,0,0,33929.28,0,0,0,0,2442.96,45239.04,0,0,0,464.688,90.504,0,0,30.168,0,0,0,0,0,42411.6,61412.04,0,0,0,0,0,0,0,0,0,0,0,0,2064.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14193.504,0,0,0,0,0,0
AGO P2,0,0,0,0,0,0,0,0,0,0,19317.48,126480.816,0,0,0,1417.2984,0,0,0,0,1035.048,0,0,0,0,0,0,187516.928,0,0,3109.2432,0,5519.0848,0,0,0,0,0,0,0,801.3936,0,0,0,0,0,0,0,0,0,0,0,2055.3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17186.1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958.188,228.2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772.2696,0,0,0,0,0,177.388,0,0,0,3050.6832,14496.1376,0,0,0,5445.6896,0,0,0,4088.2688,0,0,0,0,0,0,0,0,0,0,0,0,151.5728,380.396
SET P2,0,0,0,0,0,0,0,0,13291.9488,0,22629.048,53658.528,0,0,0,1732.2536,61.3416,0,0,0,0,0,0,0,0,0,0,192451.584,0,0,3109.2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110.6192,0,0,35526.2048,0,21799.448,57887.8776,8230.7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34372.3776,0,62511.6288,0,0,0,0,0,0,0,0,0,0,0,0,1596.98,2054.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772.2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39332.556,0,0,0,0,0,757.864,0
OUT P2,10687.95,0,0,1844.98,0,0,0,0,0,0,0,106029,0,0,0,0,0,0,0,0,551.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV P2,0,0,0,0,0,0,0,0,0,0,3257.28,0,0,0,0,0,0,0,0,0,0,0,0,8232,54309.504,0,0,0,0,0,0,0,0,0,885.552,0,0,0,0,0,0,0,0,0,27494.016,0,0,0,0,0,0,0,16172.928,0,0,0,61927.632,0,40670.64,0,47342.4,0,0,0,0,0,85806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEZ P2,0,0,0,0,0,0,0,0,0,0,0,166740.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5533.31,9508.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19153.899,0,32705.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364.636,12296.416,0,0,0,0,1263.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAN P2,1527.981,0,0,0,6507.188,0,0,0,0,0,0,106107.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54872.795,0,0,0,0,0,0,0,0,11476.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128.581,0,0,0,0,0,32705.973,0,0,0,0,0,0,0,32858.25,0,0,14776.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6724.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.61,0,0,0,0,0,0,0,0,0,231.6,0,0,0,0,0,0,0,14855.017,0,16168.768,22973.562,0,0,0,0,0,0,0,0,0,0,0,2397.832,0
FEV P2,767.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4085.349,0,0,0,0,0,16437.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR P2,0,0,0,0,0,0,0,0,0,0,1639.95,45553.2,0,0,0,0,0,0,0,0,0,0,0,0,123044.97,0,0,0,0,0,0,0,0,2049.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR P2,0,0,0,0,0,0,0,0,0,0,0,9110.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11205.6,0,0,0,7861.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20466.112,0,0,0,0,0,0,0,0,983.912,0,0,0,0,16362.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.3983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2391.7563,0,0,0,0,0,0,0,4168.3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.4121,0,0,0,0,143.1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19424.4795,0,0,0,0,0,0,0
JUN P3,0,0,0,0,0,0,0,0,0,0,4885.92,41469.12,0,0,0,774.48,80.448,0,0,20.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4557.792,0,0,0,0,0,8095.776,0,0,0,0,0,0,0,0,9051.36,0,0,0,28862.496,0,0,0,0,0,0,0,0,0,31964.736,11528.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39270,0,0,0,903.696,0,2316.24,0,0,0,0,62.832,427.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10669.056,0,0,0,0,0,0,0,0,4021.248,0,0,0,0,0,0,38687.76,18924.672,0,12567.648,0,0,0,0
JUL P3,0,0,0,0,0,0,0,0,0,0,4885.92,41469.12,0,0,0,774.48,80.448,0,0,20.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4043.232,0,0,0,0,0,0,8095.776,0,0,0,0,0,0,0,0,9051.36,0,0,0,0,0,0,0,0,0,0,0,0,8452.224,31964.736,11528.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39270,0,0,0,903.696,0,2316.24,0,0,0,0,62.832,427.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10669.056,0,0,0,0,0,0,0,0,4021.248,0,0,0,0,0,0,38687.76,37455.08,0,12567.648,0,0,0,0
AGO P3,0,0,0,0,0,0,0,0,6537.024,0,4343.04,0,0,0,0,3717.504,0,0,0,0,0,0,0,0,13577.376,0,0,0,0,0,0,0,2714.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24906.384,0,0,0,0,0,0,0,28862.496,0,0,0,0,0,0,0,0,0,0,3842.928,0,0,0,0,0,0,0,0,0,0,0,0,0,897.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.352,0,0,0,5229.648,0,0,0,0,0,174.48,0,0,0,0,7129.248,0,0,0,0,3711.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SET P3,0,0,0,0,0,0,0,0,32685.12,10137.792,1628.64,0,0,0,0,3872.4,0,0,0,0,0,0,0,0,0,0,0,38830.08,0,0,2548.56,0,0,0,0,0,2426.016,0,0,0,0,3649.44,0,9975.216,82482.048,0,0,6628.416,0,0,65868.048,0,0,0,0,7596.48,0,0,0,0,0,0,24456.384,0,0,4961.808,4086,0,18102.72,1224.96,624.96,0,28862.496,0,0,0,0,0,0,91419.504,0,25356.672,0,0,0,0,0,0,951.984,0,0,0,0,0,407.136,0,1256.64,0,0,0,0,0,11967.984,1807.392,0,4632.48,0,0,0,538.8,0,0,74.352,0,0,0,3486.432,0,0,0,0,0,0,0,314.352,0,6334.752,4073.856,0,0,0,0,7422.624,3694.512,10423.104,4021.248,0,0,0,6297.696,0,0,38687.76,0,0,0,0,0,149.088,0
OUT P3,0,0,0,0,0,0,0,0,0,0,13029.12,11309.76,0,0,0,0,0,0,0,0,0,0,0,0,13577.376,18849.6,2729.424,14561.28,0,0,0,0,0,0,0,0,0,0,0,17890.08,0,0,0,0,0,0,499.872,0,0,0,0,0,64691.712,0,0,1519.296,0,0,32536.512,0,4734.24,0,0,0,8302.128,1653.936,53118,0,0,1224.96,0,195690.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.024,0,179.136,0,1628.64,0,0,0,0,0,0,0,257.856,0,0,0,0,0,0,0,0,0,40639.632,0,0,0,0,0,56679.264,0,0,38687.76,18924.672,0,0,0,0,0,0
NOV P3,0,0,0,0,0,0,0,0,0,0,0,15079.68,0,0,0,0,0,0,0,0,0,0,20.112,0,13577.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66205.824,0,0,0,0,0,0,0,0,0,6064.848,2278.896,0,0,4763.664,691.68,40670.64,0,2367.12,0,0,9273.6,8302.128,0,53118,0,0,0,0,0,57724.992,50155.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062.96,0,0,0,0,0,0,0,0,0,0,0,74.352,0,452.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38687.76,0,0,0,0,0,0,0
