;Geitlerinema_sp._;Geitlerinema_sp2;Geitlerinema_sp3;Komvophoron_sp.;Jaaginema_sp.;Limnothrix_sp1;Limnothrix_sp2;Limnothrix_sp3_;Oscillatoria_sp1;Oscillatoria_sp2_;Pseudanabaena_limnetica;Pseudanabaena_catenata;cf._Raphidiopsis;Romeria_sp._;cf._Spirulina;Synechocystis_aquatilis;Synechococcus_sp.;Chroococcus_sp.;cf._Cyanobium_sp.;Chroococcales_unicelular_1;Chroococcales_colonial_1_;Chroococcales_colonial_3_;Chroococcales_colonial_4_;Merismopedia_sp;Pseudanabaena_sp1;Pseudanabaena_sp2;Pseudanabaena_sp3__;Pseudanabaena_sp4__;Pseudanabaena_sp5_;Pseudanabaenaceae_1__;Pseudanabaenaceae_2__;Pseudanabaenaceae_7__;Oscillatoriales_1;Oscillatoriales_2__;Oscillatoriales_4;Oscillatoriales_6__;Aulacoseira_granulata;Aulacoseira_sp1;Aulacoseira_sp2_;Cyclotella_cf._meneghiniana;Cyclotella_sp2;Cyclotella_sp3_;Melosira_sp1;Centrales_1;Achnanthes_inflata;Achnanthes_cf._rupestoides;Achnanthes_sp1_;Achnanthes_sp2;cf._Achnanthidium_sp;Amphora_sp.;Cymbela_sp.;cf._Encyonema;Fragillaria_capucina;Fragillaria_capucina_var._gracilis;Fragillaria_capucina_cf._var._fragilarioides_;Fragillaria_sp.;cf._Frustulia;Gomphonema_augur;Gomphonema_cf._olivaceum____;Gomphonema_cf._truncatum___;Gomphonema_sp1_;Gomphonema_sp2_;Gyrosigma/Pleurosigma;Hantszchia_sp.;Navicula_sp1_;Navicula_sp2_;Navicula_sp3___;Navicula_sp4___;Naviculales;Nitzschia_sp1;Nitzschia_sp2__;Pinnularia_sp_1;Pinnularia_sp2_;Pinullaria_sp4;Pinullaria_sp6_;Pinnularia_sp_7;Stauroneis_borrichii;Surirella_cf._minuta;Surirella_sp1;Synedra_sp.;cf_Urosolenia;Pennales_1_;Pennales_2__;Pennales_3_;Pennales_4__;Pennales_5_;Penales_6___;Pennales_7_;_Pennales_9____;_Pennales_10___;Pennales_11_;_Pennales_12_;_Pennales_13_;Actinastrum_sp.;Actinastrum_cf._hantzchii__;Ankistrodesmus_sp.;Chlorella_sp1___;Chlorella_sp_2__;Chlorella_sp3_;Coelastrum_sp.;Crucigenia_fenestrata;Crucigenia_sp2;Crucigeniella_sp.;Desmodesmus_quadricauda;Desmodesmus_sp1___;Desmodesmus_sp2_____;Desmodesmus_sp3;Desmodesmus_sp4_;Desmodesmus_sp5_;Dictyosphaerium_sp.;cf._Koliella_sp.;Monoraphidium_arcuatum;Monoraphidium_contortum__;Monoraphidium_convolutum;Monoraphidium_komarkovae___;Monoraphidium_minutum_;Oocystis_sp1;Oocystis_sp2__;Oocystis_sp3;Pandorina_sp.;Pediastrum_sp1_;Pediastrum_sp2_;Scenedesmus_sp1_;Scenedesmus_sp2;Scenedesmus_sp3_;Scenedesmus_sp_4_;Chlorococcales_unicelular_1__;Chlorococcales_unicelular_2;Chlorococcales_unicelular_3__;Chlorococcales_unicelular_4_;Chlorococcales_colonial_1_;Chlorococcales_colonial_2_____;Chlorococcales_colonial_3_;cf._Cryptomonas_sp1;cf._Cryptomonas_sp2___;Cryptophyceae_1;Cryptophyceae_2;Cryptophyceae_3;Cosmarium_sp.;Staurastrum_sp.;Staurodesmus_sp.;Dinobryon_sp.;Euglena_sp1;Euglena_sp2__;Euglena_sp3__;Phacus_sp.;Strombomonas_sp.;Trachelomonas_sp.;Fitoflagelado_1_;Fitoglagelado_2
NOV P6;0;0;0;0;0;0;0;0;0;0;0;17.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.7;0;0;0;0;17.7;0;0;0;0;0;0;0;0;0;53.1;0;0;0;35.4;0;17.7;0;212.4;0;0;0;0;0;0;0;0;0;0;0;17.7;0;0;0;0;0;0;17.7;0;35.4;0;17.7;0;17.7;0;0;0;0;159.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88.5;0;0;0;0;0;0;0;0;0;0
DEZ P6;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAN P6;0;0;0;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;19.3;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FEV P6;0;0;0;0;0;0;0;0;0;0;8;20;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR P6;4;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0
ABR P6;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0
MAI P7;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;4.8;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;9.6;0;0;0;0;0;0;0;0
JUN P7;4.8;0;0;0;0;0;0;0;0;0;38.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105.6;0;52.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;24;19.2;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0
JUL P7;0;0;0;0;0;0;0;0;0;0;66.5;26.6;0;0;0;66.5;0;0;0;0;0;0;0;0;0;0;0;66.5;0;0;66.5;0;0;0;0;0;13.3;0;0;0;0;0;13.3;0;0;0;0;13.3;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;13;13.3;13;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;106.4;0;0;0;0;26.6;39.9;0;0;13.3;0;13.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO P7;0;0;0;0;0;4.88;0;0;0;0;102.48;4.88;0;0;0;19.52;4.88;0;0;0;0;0;0;0;29.28;0;0;0;0;0;4.88;0;0;0;0;0;0;0;0;4.88;0;0;0;0;0;0;14.64;0;0;0;0;0;9.76;9.76;0;4.88;0;0;0;0;0;0;4.88;0;0;4.88;0;0;0;0;0;24.4;0;0;0;0;0;0;0;0;0;9.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.88;0;0;0;63.44;4.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SET P7;9.76;0;0;0;0;0;0;0;0;68.32;14.64;0;0;0;73.2;0;0;0;0;0;214.72;0;0;0;0;0;14.64;0;0;92.72;0;0;0;0;0;0;0;0;0;0;92.72;0;0;0;4.88;0;0;0;0;0;0;0;0;14.64;0;0;0;0;4.88;34.16;0;0;9.76;0;14.64;0;0;0;0;39.04;0;0;0;0;0;0;0;0;0;34.16;0;9.76;0;14.64;0;0;0;34.16;0;4.88;0;0;0;34.16;0;0;0;0;0;4.88;0;0;0;0;0;0;4.88;0;0;0;0;4.88;0;0;0;0;24.4;0;0;0;4.88;0;0;0;4.88;0;0;0;0;0;0;0;0;4.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OUT P7;0;0;0;0;0;0;0;0;0;2.9;5.8;0;0;0;0;17.4;0;0;0;0;0;0;0;5.8;0;0;0;17.4;0;0;0;0;0;0;0;0;0;0;0;0;5.8;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.9;0;0;0;0;0;0;2.9;0;0;0;0;0;0;0;0;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.8;5.8;0;0;0;0;0;0;2.9;0;0;0;0;0;0;0;0;2.9;0;0;0;0;0;0;0;0;0;0;2.9;0;0;0;0;2.9;0;0;0;0;0;0;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0
NOV P7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.7;0;0;0;70.7;0;0;0;0;0;0;0;70.7;0;0;0;0;0;0;0;70.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.7;0;0;0;0;0;0;0;0;70.7;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEZ P7;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAN P7;4.8;4.8;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.4;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;4.8;4.8;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;4.8;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0
FEV P7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;0;0;0;0;0;0;0;0;0;0;4;0;8;0;4;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;16;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
MAR P7;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;4.8;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0
ABR P7;0;0;0;0;0;12;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
MAI P8;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;14.5;0;0;0;0;0;0;0;0;0;0;14.5;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JUN P8;0;0;0;0;0;1.5;0;0;0;0;7.5;3;0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;4.5;0;0;0;0;1.5;0;0;0;1.5;1.5;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.5;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;0;1.5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
JUL P8;0;0;0;0;0;1.5;0;0;0;0;7.5;3;0;0;0;9;0;0;0;9;0;0;0;0;0;3;0;4.5;0;0;0;0;1.5;0;0;0;1.5;1.5;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
AGO P8;0;0;0;0;0;4.88;0;0;0;0;24.4;4.88;0;0;0;43.92;0;0;0;0;0;0;0;0;0;0;0;9.76;0;0;4.88;0;0;0;0;0;0;4.88;0;0;29.28;0;0;0;0;0;0;0;0;0;0;0;4.88;4.88;0;0;4.88;0;0;0;0;0;0;0;4.88;14.64;9.76;0;0;0;0;0;0;0;0;0;0;0;0;4.88;0;4.88;0;0;0;0;0;0;0;0;0;0;0;0;0;4.88;4.88;4.88;19.52;0;0;0;0;0;9.76;4.88;4.88;0;0;0;0;0;0;0;0;0;4.88;0;0;0;0;0;0;0;0;0;63.44;4.88;0;0;9.76;0;0;0;0;0;0;0;0;0;0;4.88;0;0;0;0;0;0;0;0
SET P8;0;0;0;0;0;0;0;0;0;0;38.4;9.6;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;33.6;0;24;4.8;0;0;0;0;0;0;0;0;0;0;48;0;0;0;9.6;0;0;0;0;0;0;0;0;0;9.6;0;0;14.4;0;0;0;0;0;4.8;4.8;0;0;4.8;0;0;0;14.4;0;0;0;0;0;0;9.6;0;0;0;0;0;28.8;4.8;0;9.6;0;0;0;0;0;0;0;62.4;28.8;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;4.8;0;0;19.2;0;0;0;0;0;4.8;0;0;19.2;14.4;4.8;0;0;0;0;14.4;0;0;0;0;0;0;28.8;0;9.6;72;72;0;0;0;0;0
DEZ P8;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAN P8;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.6;0;0;0;0;0;0;0;0;0;19.3;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.3;0;0;19.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FEV P8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;0;0;0;0;0;0;0;0;0;0;4;0;8;0;4;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;16;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
MAR P8;0;0;0;0;0;0;0;0;0;0;8.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2.02;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.02;0;0;0;0;0;0;0;0;0
ABR P8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;0;0;0;0;0;0;0;0;0;0;4;0;8;0;4;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;16;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
MAI P9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;101.5;0;14.5;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;43.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JUN P9;0;0;0;0;0;0;0;0;0;0;26.4;0;0;0;0;13.2;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;13.2;0;0;0;0;0;0;0;0;0;0;0;13.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGO P9;0;0;0;0;0;0;0;0;0;0;14.4;0;0;0;0;0;43.2;4.8;0;0;0;38.4;0;0;0;4.8;0;0;0;4.8;0;0;0;0;0;0;0;0;0;4.8;4.8;14.4;0;0;0;0;0;0;0;0;0;0;0;4.8;4.8;0;0;0;0;0;0;0;0;0;0;9.6;24;0;0;33.6;0;0;4.8;0;0;0;0;0;0;0;0;9.6;0;0;0;4.8;0;4.8;4.8;0;0;0;0;0;0;0;0;19.2;9.6;0;0;0;4.8;0;0;0;0;0;0;12;0;0;0;0;0;4.8;9.6;0;0;0;0;0;0;5;0;0;0;24;14.4;0;0;0;0;0;0;0;0;5;0;0;4.8;0;0;0;0;0;0;0;0;0
SET P9;4.8;0;0;0;0;0;0;0;4.8;0;9.6;0;0;0;0;28.8;0;0;0;0;0;4.8;0;0;4.8;0;0;14.4;0;0;4.8;0;0;0;0;0;0;9.6;0;0;28.8;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;14.4;72;0;0;0;0;0;4.8;0;9.6;9.6;4.8;0;0;4.8;0;0;0;0;0;0;0;0;0;5;0;14.4;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;4.8;4.8;0;0;0;0;0;9.6;4.8;0;0;0;0;0;0;4.8;4.8;4.8;0;0;14.4;0;0;0;0;0;0;0;0;0;38.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0
OUT P9;0;0;0;0;0;4.8;0;0;9.6;0;4.8;0;0;0;0;4.8;0;0;0;0;0;9.6;0;0;9.6;0;0;4.8;0;0;0;0;0;0;0;0;0;4.8;0;0;72;0;0;0;0;0;0;0;0;4.8;0;0;14.4;0;0;4.8;0;0;0;0;0;0;4.8;0;4.8;19.2;0;0;0;14.4;4.8;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2;0;0;4.8;0;0;0;0;0;14.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOV P9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;4.8;0;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;4.8;0;4.8;0;9.6;4.8;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0
DEZ P9;0;0;0;0;14.5;29;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0
JAN P9;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FEV P9;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
MAR P9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
ABR P9;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;4;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;4;0;0;0;0;0;0;0